"country","scenario","species","crop","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"0","0","NPK fertilizers","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","NPK fertilizers","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","NPK fertilizers","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","NPK fertilizers","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","NPK fertilizers","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","NPK fertilizers","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","NPK fertilizers","kg urea req per tonne fertiliser","330","330","330","330","330"
0,0,"0","0","NPK fertilizers","kg ammonium nitrate req per tonne fertiliser","330","330","330","330","330"
0,0,"0","0","NPK fertilizers","kg map req per tonne fertiliser","144","144","144","144","144"
0,0,"0","0","NPK fertilizers","kg dap req per tonne fertiliser","163","163","163","163","163"
0,0,"0","0","NPK fertilizers","conversion tonnes N to tonnes fertiliser","6.67","6.67","6.67","6.67","6.67"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","Tonnes","0","0","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","Tonnes N","0","0","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","NH3 EF kg NH3 kg N-1","0.014","0.014","0","0","0"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Other nitrogenous fertilizers, n.e.c.","kg NH3 req per tonne fertiliser","0","0","0","0","0"
