"country","scenario","species","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"Fats, Animals, Raw","Kcal per tonne Fats, Animals, Raw","kcal per tonne","12166666.6666667","12775000","13447368.4210526","11526315.7894737","12166666.6666667"
0,0,"Fish, Body Oil","Fraction Consumption Waste Fish, Body Oil","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Fish, Body Oil","Fraction Food supply consumed Fish, Body Oil","fraction","0","0","0","0","0"
0,0,"Fish, Body Oil","Fraction Food supply wasted Fish, Body Oil","fraction","0","0","0","0","0"
0,0,"Fish, Body Oil","Kcal per tonne Fish, Body Oil","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Fish, Liver Oil","Fraction Consumption Waste Fish, Liver Oil","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Fish, Liver Oil","Fraction Food supply consumed Fish, Liver Oil","fraction","0","0","0","0","0"
0,0,"Fish, Liver Oil","Fraction Food supply wasted Fish, Liver Oil","fraction","0","0","0","0","0"
0,0,"Fish, Liver Oil","Kcal per tonne Fish, Liver Oil","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Offals, Edible","Fraction Consumption Waste Offals, Edible","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Offals, Edible","Fraction Food supply consumed Offals, Edible","fraction","0.000746382330540746","0.000765326044513862","0.000759395583107323","0.000771957463568334","0.000762052877138414"
0,0,"Offals, Edible","Fraction Food supply wasted Offals, Edible","fraction","1.52322924600152e-05","1.56188988676298e-05","1.54978690430066e-05","1.57542339503742e-05","1.5552099533437e-05"
0,0,"Offals, Edible","Kcal per tonne Offals, Edible","kcal per tonne","1042857.14285714","1042857.14285714","1073529.41176471","1106060.60606061","1123076.92307692"
0,0,"Meat, Other","Fraction Consumption Waste Meat, Other","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Meat, Other","Fraction Food supply consumed Meat, Other","fraction","0.00111957349581112","0.00114798906677079","0.00113909337466098","0.0011579361953525","0.00114307931570762"
0,0,"Meat, Other","Fraction Food supply wasted Meat, Other","fraction","2.28484386900228e-05","2.34283483014447e-05","2.32468035645099e-05","2.36313509255612e-05","2.33281493001555e-05"
0,0,"Meat, Other","Kcal per tonne Meat, Other","kcal per tonne","1073529.41176471","1073529.41176471","1106060.60606061","1117346.93877551","1117346.93877551"
0,0,"Aquatic Animals, Others","Fraction Consumption Waste Aquatic Animals, Others","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Aquatic Animals, Others","Fraction Food supply consumed Aquatic Animals, Others","fraction","0","0","0","0","0"
0,0,"Aquatic Animals, Others","Fraction Food supply wasted Aquatic Animals, Others","fraction","0","0","0","0","0"
0,0,"Aquatic Animals, Others","Kcal per tonne Aquatic Animals, Others","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Cephalopods","Fraction Consumption Waste Cephalopods","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Cephalopods","Fraction Food supply consumed Cephalopods","fraction","0","0","0","0","0"
0,0,"Cephalopods","Fraction Food supply wasted Cephalopods","fraction","0","0","0","0","0"
0,0,"Cephalopods","Kcal per tonne Cephalopods","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Crustaceans","Fraction Consumption Waste Crustaceans","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Crustaceans","Fraction Food supply consumed Crustaceans","fraction","0","0","0","0","0"
0,0,"Crustaceans","Fraction Food supply wasted Crustaceans","fraction","0","0","0","0","0"
0,0,"Crustaceans","Kcal per tonne Crustaceans","kcal per tonne","0","0","0","0","0"
0,0,"Demersal Fish","Fraction Consumption Waste Demersal Fish","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Demersal Fish","Fraction Food supply consumed Demersal Fish","fraction","0.00111957349581112","0.00114798906677079","0.000759395583107323","0.000771957463568334","0.000762052877138414"
0,0,"Demersal Fish","Fraction Food supply wasted Demersal Fish","fraction","2.28484386900228e-05","2.34283483014447e-05","1.54978690430066e-05","1.57542339503742e-05","1.5552099533437e-05"
0,0,"Demersal Fish","Kcal per tonne Demersal Fish","kcal per tonne","413207.547169811","385563.38028169","525179.856115108","374358.974358974","384210.526315789"
0,0,"Freshwater Fish","Fraction Consumption Waste Freshwater Fish","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Freshwater Fish","Fraction Food supply consumed Freshwater Fish","fraction","0.00298552932216299","0.00267864115579852","0.00265788454087563","0.00270185112248917","0.00266718506998445"
0,0,"Freshwater Fish","Fraction Food supply wasted Freshwater Fish","fraction","6.09291698400609e-05","5.46661460367044e-05","5.42425416505231e-05","5.51398188263096e-05","5.44323483670296e-05"
0,0,"Freshwater Fish","Kcal per tonne Freshwater Fish","kcal per tonne","768421.052631579","703856.749311295","692411.924119241","681333.333333333","698087.431693989"
0,0,"Marine Fish, Other","Fraction Consumption Waste Marine Fish, Other","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Marine Fish, Other","Fraction Food supply consumed Marine Fish, Other","fraction","0.000373191165270373","0.000382663022256931","0.000379697791553661","0.000385978731784167","0.000381026438569207"
0,0,"Marine Fish, Other","Fraction Food supply wasted Marine Fish, Other","fraction","7.61614623000762e-06","7.80944943381492e-06","7.74893452150329e-06","7.87711697518708e-06","7.77604976671851e-06"
0,0,"Marine Fish, Other","Kcal per tonne Marine Fish, Other","kcal per tonne","829545.454545454","618644.06779661","1073529.41176471","1013888.88888889","1042857.14285714"
0,0,"Molluscs, Other","Fraction Consumption Waste Molluscs, Other","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Molluscs, Other","Fraction Food supply consumed Molluscs, Other","fraction","0","0","0","0","0"
0,0,"Molluscs, Other","Fraction Food supply wasted Molluscs, Other","fraction","0","0","0","0","0"
0,0,"Molluscs, Other","Kcal per tonne Molluscs, Other","kcal per tonne","0","0","0","0","0"
0,0,"Pelagic Fish","Fraction Consumption Waste Pelagic Fish","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Pelagic Fish","Fraction Food supply consumed Pelagic Fish","fraction","0.00447829398324448","0.00344396720031238","0.00303758233242929","0.002315872390705","0.00228615863141524"
0,0,"Pelagic Fish","Fraction Food supply wasted Pelagic Fish","fraction","9.13937547600914e-05","7.02850449043342e-05","6.19914761720264e-05","4.72627018511225e-05","4.6656298600311e-05"
0,0,"Pelagic Fish","Kcal per tonne Pelagic Fish","kcal per tonne","817164.179104478","825376.884422111","815642.458100559","799270.072992701","820224.719101124"
0,0,"Honey","Fraction Consumption Waste Honey","fraction","0.01","0.01","0.01","0.01","0.01"
0,0,"Honey","Fraction Food supply consumed Honey","fraction","0","0","0","0","0"
0,0,"Honey","Fraction Food supply wasted Honey","fraction","0","0","0","0","0"
0,0,"Honey","Kcal per tonne Honey","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
