"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Maize Germ Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Maize Germ Oil",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Maize Germ Oil",NA,"land area","ha",0
"Nigeria",2018,"Maize Germ Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Maize Germ Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Maize Germ Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Millet and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Millet and products",NA,"above ground residue","kg y-1",2789011804.3077
"Nigeria",2018,"Millet and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Millet and products",NA,"total residue burned","kg y-1",697252951.076925
"Nigeria",2018,"Millet and products",NA,"yield","kg ha-1 y-1",806.700977516645
"Nigeria",2018,"Millet and products",NA,"land area","ha",2686329
"Nigeria",2018,"Millet and products",NA,"N surplus","kg N y-1",-1230.22535801524
"Nigeria",2018,"Millet and products",NA,"NUE","fraction",57.4982901787869
"Nigeria",2018,"Millet and products",NA,"ymax","kg N y-1",-33538091.4500238
"Nigeria",2018,"Nuts and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Nuts and products",NA,"above ground residue","kg y-1",249355704.25
"Nigeria",2018,"Nuts and products",NA,"below ground residue","kg y-1",49871140.8499999
"Nigeria",2018,"Nuts and products",NA,"total residue burned","kg y-1",62338926.0624999
"Nigeria",2018,"Nuts and products",NA,"yield","kg ha-1 y-1",1736.07172118233
"Nigeria",2018,"Nuts and products",NA,"land area","ha",142803
"Nigeria",2018,"Nuts and products",NA,"N surplus","kg N y-1",-1922.62576863362
"Nigeria",2018,"Nuts and products",NA,"NUE","fraction",89.2968863174167
"Nigeria",2018,"Nuts and products",NA,"ymax","kg N y-1",-81401013.8768615
"Nigeria",2018,"Oats",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Oats",NA,"above ground residue","kg y-1",890
"Nigeria",2018,"Oats",NA,"below ground residue","kg y-1",222.5
"Nigeria",2018,"Oats",NA,"total residue burned","kg y-1",222.5
"Nigeria",2018,"Oats",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Oats",NA,"land area","ha",0
"Nigeria",2018,"Oats",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Oats",NA,"NUE","fraction",NA
"Nigeria",2018,"Oats",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Oilcrops Oil, Other",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Oilcrops Oil, Other",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Oilcrops Oil, Other",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Oilcrops Oil, Other",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Oilcrops Oil, Other",NA,"yield","kg ha-1 y-1",Inf
