"country","year","sector","subsector","species","mgmt","animal","pollutant","units","value"
"Nigeria",2018,"crops","manure application","Rice and products",NA,NA,"NH3","kg y-1",8268293.86045808
"Nigeria",2018,"crops","manure application","Roots, Other",NA,NA,"NH3","kg y-1",22021269.6421059
"Nigeria",2018,"crops","manure application","Rye and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Sesame seed",NA,NA,"NH3","kg y-1",975725.442793705
"Nigeria",2018,"crops","manure application","Sesameseed Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Sorghum and products",NA,NA,"NH3","kg y-1",7877638.52569451
"Nigeria",2018,"crops","manure application","Soyabean Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Soyabeans",NA,NA,"NH3","kg y-1",980289.209519241
"Nigeria",2018,"crops","manure application","Sugar (Raw Equivalent)",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Sugar beet",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Sugar cane",NA,NA,"NH3","kg y-1",119736.233849655
"Nigeria",2018,"crops","manure application","Sunflower seed",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Sunflowerseed Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Sweet potatoes",NA,NA,"NH3","kg y-1",2336547.20900022
"Nigeria",2018,"crops","manure application","Tea (including mate)",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Tomatoes and products",NA,NA,"NH3","kg y-1",1062667.8735471
"Nigeria",2018,"crops","manure application","Vegetables, Other",NA,NA,"NH3","kg y-1",1077609.21223459
"Nigeria",2018,"crops","manure application","Wheat and products",NA,NA,"NH3","kg y-1",79098.7206378252
"Nigeria",2018,"crops","manure application","Yams",NA,NA,"NH3","kg y-1",8541682.06897118
"Nigeria",2018,"crops","manure application","Apples and products",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Bananas",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Barley and products",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Beans",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Cassava and products",NA,NA,"NO","kg y-1",2198744.16636151
"Nigeria",2018,"crops","manure application","Cereals, Other",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Citrus, Other",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Cocoa Beans and products",NA,NA,"NO","kg y-1",422785.598301057
"Nigeria",2018,"crops","manure application","Coconut Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Coconuts - Incl Copra",NA,NA,"NO","kg y-1",10114.2323983911
"Nigeria",2018,"crops","manure application","Coffee and products",NA,NA,"NO","kg y-1",297.108874248513
"Nigeria",2018,"crops","manure application","Cottonseed Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Dates",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Fruits, Other",NA,NA,"NO","kg y-1",55466.0389390642
"Nigeria",2018,"crops","manure application","Grapefruit and products",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Grapes and products (excl wine)",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Groundnut Oil",NA,NA,"NO","kg y-1",0
"Nigeria",2018,"crops","manure application","Groundnuts (Shelled Eq)",NA,NA,"NO","kg y-1",1243179.70316316
"Nigeria",2018,"crops","manure application","Lemons, Limes and products",NA,NA,"NO","kg y-1",0
