"country","year","risk","disease","age","sex","mean","median","p2.5","p97.5"
NA,NA,"overweight","Acute myeloid leukemia","90-94","male",0.00134762502302433,0.00135100344730559,0.00085243701650544,0.00184316554394173
NA,NA,"overweight","Acute myeloid leukemia","95-99","male",0,0,0,0
NA,NA,"overweight","Acute myeloid leukemia","100+","male",0,0,0,0
NA,NA,"overweight","Alzheimer's disease and other dementias","25-29","male",0,0,0,0
NA,NA,"overweight","Alzheimer's disease and other dementias","30-34","male",0,0,0,0
NA,NA,"overweight","Alzheimer's disease and other dementias","35-39","male",0,0,0,0
NA,NA,"overweight","Alzheimer's disease and other dementias","40-44","male",0.196683805667545,0.205025401698939,0.0384320423734815,0.32097698486137
NA,NA,"overweight","Alzheimer's disease and other dementias","45-49","male",0.996873369162511,1.00867635250842,0.204424349103503,1.61213570891827
NA,NA,"overweight","Alzheimer's disease and other dementias","50-54","male",1.71105253726353,1.7521748557186,0.288389215596383,2.81663632998186
NA,NA,"overweight","Alzheimer's disease and other dementias","55-59","male",2.85573654989119,2.90562968295655,0.773974037909827,4.63221757809493
NA,NA,"overweight","Alzheimer's disease and other dementias","60-64","male",4.83551699332653,4.92166697831112,0.941505464904724,8.04103618285512
NA,NA,"overweight","Alzheimer's disease and other dementias","65-69","male",8.33864690545734,8.57715668385289,1.41279679257893,13.5755949805823
NA,NA,"overweight","Alzheimer's disease and other dementias","70-74","male",14.0004292571366,14.3364524981394,3.52175837230621,22.5481261617162
NA,NA,"overweight","Alzheimer's disease and other dementias","75-79","male",19.6030036689509,20.0876247599672,4.46846388959586,31.9196898259899
NA,NA,"overweight","Alzheimer's disease and other dementias","80-84","male",47.8429066177581,49.2377967023843,13.1392109448888,77.4882278257579
NA,NA,"overweight","Alzheimer's disease and other dementias","85-89","male",12.0086208785069,12.4197142754912,2.49510698613646,19.4190191753575
NA,NA,"overweight","Alzheimer's disease and other dementias","90-94","male",1.87474623106961,1.89519539495845,0.469489085014717,2.99044905172692
NA,NA,"overweight","Alzheimer's disease and other dementias","95-99","male",0,0,0,0
NA,NA,"overweight","Alzheimer's disease and other dementias","100+","male",0,0,0,0
NA,NA,"overweight","Asthma","25-29","male",5.5572895573703,5.59068353768961,4.29852060075584,6.79653929293929
NA,NA,"overweight","Asthma","30-34","male",4.71531710933807,4.72878136871261,3.62042451166474,5.73711375272406
NA,NA,"overweight","Asthma","35-39","male",8.05659629654291,8.13928720223699,6.1175453138932,9.73893119888666
NA,NA,"overweight","Asthma","40-44","male",11.7407657494054,11.8106541737207,8.96185624905709,14.1304891428129
NA,NA,"overweight","Asthma","45-49","male",9.38467415905799,9.41784881008017,7.22639656732737,11.4131749142089
NA,NA,"overweight","Asthma","50-54","male",14.3672494619963,14.4208424408199,11.2418635186964,17.1427772239389
NA,NA,"overweight","Asthma","55-59","male",18.5164915310408,18.6469906752851,14.0206792482988,22.2225162480168
NA,NA,"overweight","Asthma","60-64","male",30.6020352391508,30.6770639762902,23.9373159197556,36.5878816511984
NA,NA,"overweight","Asthma","65-69","male",36.5312781693326,36.7354394247351,27.2946065752212,44.4666013216217
NA,NA,"overweight","Asthma","70-74","male",18.5112394413865,18.6229541462283,13.8986509818039,22.5677513500996
NA,NA,"overweight","Asthma","75-79","male",26.569239652796,26.6580942971897,19.5605587326234,31.8130659152785
NA,NA,"overweight","Asthma","80-84","male",17.170736492508,17.1874916776931,13.5405273713352,20.6073008991935
NA,NA,"overweight","Asthma","85-89","male",4.31855129985959,4.3565745825415,3.21569991848978,5.1986878136779
NA,NA,"overweight","Asthma","90-94","male",0.66306793875512,0.66735011861358,0.511545763397694,0.795883543213935
NA,NA,"overweight","Asthma","95-99","male",0,0,0,0
NA,NA,"overweight","Asthma","100+","male",0,0,0,0
NA,NA,"overweight","Atrial fibrillation and flutter","25-29","male",0,0,0,0
NA,NA,"overweight","Atrial fibrillation and flutter","30-34","male",0.0374919111340216,0.0375626848381146,0.0261966515210388,0.0470954404965594
NA,NA,"overweight","Atrial fibrillation and flutter","35-39","male",0.0368727062178799,0.037145593951687,0.0256925375414932,0.0467064415793026
NA,NA,"overweight","Atrial fibrillation and flutter","40-44","male",0.109783108154428,0.110213464104803,0.0793990541133442,0.137861543531127
